	group	names	scores	logfoldchanges	pvals	pvals_adj
0	non_tumor	MB	14.710007	1.0091261	5.560168979929128e-49	1.1838014152517413e-48
1	non_tumor	TNNT3	11.329118	0.8047388	9.41480044079603e-30	1.659302727179211e-29
2	non_tumor	TTN	10.652841	0.70580643	1.6912483441368106e-26	2.8795973247432883e-26
3	non_tumor	MYL1	9.87016	0.7787199	5.60749971268963e-23	9.198167751834909e-23
4	non_tumor	NR4A1	9.563813	0.4727956	1.1349598988203444e-21	1.832800194417547e-21
5	non_tumor	CKM	8.600764	0.5564149	7.918717443579133e-18	1.2262031133147674e-17
6	non_tumor	TNNC1	8.34838	0.6421286	6.9205436515935e-17	1.0577754748754975e-16
7	non_tumor	TNNT1	8.067371	0.46463218	7.182754138824969e-16	1.0818243139796866e-15
8	non_tumor	ENO3	7.790221	0.70172834	6.6891937476674656e-15	9.951486818379503e-15
9	non_tumor	PLA2G2A	7.7725034	0.9053758	7.694989788603853e-15	1.1436025299825393e-14
10	non_tumor	DES	7.177075	0.38030258	7.12185615725859e-13	1.0310746973941541e-12
11	non_tumor	CRYAB	6.8933043	0.4379628	5.451113041693547e-12	7.777559529740146e-12
12	non_tumor	TNNI1	6.870133	0.42910275	6.414211346113905e-12	9.14366298275812e-12
13	non_tumor	CMYA5	6.725104	0.5761959	1.7546710450491868e-11	2.4820126502937567e-11
14	non_tumor	HSPB6	6.5847425	0.5461103	4.556740382505593e-11	6.403774623397958e-11
15	non_tumor	ACTN2	6.455074	0.71611965	1.0816611133365605e-10	1.5090083880163802e-10
16	non_tumor	CFD	5.858407	0.38003126	4.6732762617534195e-09	6.332698587392717e-09
17	non_tumor	TNXB	5.6148586	0.5528496	1.967230478412048e-08	2.6379925470339212e-08
18	non_tumor	MYL2	5.5817327	0.48874176	2.3813383648458926e-08	3.188363830476608e-08
19	non_tumor	NR4A3	5.3430185	0.36441597	9.14113604597194e-08	1.209328105094588e-07
20	non_tumor	NEB	5.169127	0.49872586	2.351902989996971e-07	3.0872586410806533e-07
21	non_tumor	MYLPF	4.681458	0.37550282	2.8484169805565755e-06	3.6516149436112406e-06
22	non_tumor	NR4A2	4.62578	0.77139556	3.7319078370003987e-06	4.774814259802263e-06
23	non_tumor	SPTB	4.4442916	0.52567285	8.818190885665941e-06	1.1186691892629896e-05
24	non_tumor	MYL3	4.330388	0.77861995	1.488468485268341e-05	1.880003242786697e-05
